Ingredient,Type,Purpose,Skin Type
Olive Glycerides,Plant Extract,"Skin conditioning, moisturizing","Dry, Sensitive"
Ananas Sativus (Pineapple) Fruit Extract,Plant Extract,"Exfoliating, brightening","Oily, Combination"
Camellia Sinensis Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing",All skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Plant Extract,"Soothing, brightening, anti-inflammatory","Sensitive, All"
Ascorbic Acid,Vitamin C,"Antioxidant, brightening, collagen synthesis",All skin types
Acacia Senegal Gum,Plant Extract,"Moisturizing, film-forming","Dry, Sensitive"
Lactic Acid,Alpha Hydroxy Acid (AHA),"Exfoliating, brightening","Oily, Combination"
Serine,Amino Acid,"Moisturizing, skin repair","Dry, Sensitive"
Sodium Lactate,Humectant,"Moisturizing, skin conditioning","Dry, Sensitive"
Sorbitol,Humectant,"Moisturizing, skin conditioning","Dry, Sensitive"
Urea,"Humectant, Exfoliant","Moisturizing, exfoliating","Dry, Sensitive"
Ceramide NP,Lipid,"Restores skin barrier, hydrating","Dry, Sensitive, All"
Citric Acid,Alpha Hydroxy Acid (AHA),"pH adjuster, exfoliating","Oily, Combination"
Sodium Hyaluronate,Humectant,"Deep hydration, plumping",All skin types
Sodium Chloride,Salt,"Thickening agent, pH adjuster",All skin types
Potassium Sorbate,Preservative,"Antimicrobial, preservative",All skin types
Phenoxyethanol,Preservative,"Antimicrobial, preservative",All skin types
Ci 77163 (Bismuth Oxychloride),Colorant,"Adds color, opacifier",All skin types
Ci 77891 (Titanium Dioxide),"Colorant, Sunscreen","Provides white opacity, UV filter",All skin types
"Ci 77491, Ci 77492, Ci 77499 (Iron Oxides)",Colorant,Adds color to products,All skin types
Ci 77742 (Manganese Violet),Colorant,Adds color to products,All skin types
Ascorbic Acid 10.0%,Vitamin C,"Antioxidant, brightening, collagen synthesis",All skin types
Ethoxydiglycol,"Solvent, Humectant","Solvent for active ingredients, moisturizing",All skin types
Zinc Sulfate,Mineral,"Skin healing, acne treatment","Oily, Acne-prone"
Panthenol,Vitamin B5,"Moisturizing, soothing, skin barrier repair",All skin types
Ferulic Acid 0.2%,Antioxidant,"Protects from free radicals, anti-aging",All skin types
Sodium Hydroxide,pH Adjuster,"pH balancing, acidity regulator",All skin types
Rose Hydrosol,Floral Water,"Soothing, moisturizing, calming","Sensitive, Dry"
Niacinamide (10%),Vitamin B3,"Brightening, anti-inflammatory, improves skin barrier",All skin types
Mulberry Extract,Plant Extract,"Brightening, antioxidant, skin tone improvement",All skin types
Licorice Root Extract,Plant Extract,"Brightening, anti-inflammatory","Sensitive, Dry"
Green Tea Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing",All skin types
Propanediol,"Humectant, Solvent","Moisturizing, skin conditioning",All skin types
Panthenol (2%),Vitamin B5,"Moisturizing, soothing, skin barrier repair",All skin types
Vegetable Glycerin,Humectant,"Moisturizing, emollient",All skin types
Glycine Soja Seed Extract,Plant Extract,"Moisturizing, antioxidant","Dry, Sensitive"
Sugar,Humectant,"Moisturizing, skin conditioning","Dry, Dehydrated"
Beet Root Extract,Plant Extract,"Antioxidant, moisturizing",All skin types
Allantoin,Skin Soothing Agent,"Healing, soothing, skin barrier repair","Sensitive, Dry"
Acacia Senegal Gum,Plant Gum,"Emulsifying, skin conditioning",All skin types
Xanthan Gum,Polysaccharide,"Thickening agent, emulsifier, stabilizer",All skin types
Disodium EDTA,Chelating Agent,"Preservative, stabilizes formulations",All skin types
Niacinamide,Vitamin B3,"Brightening, anti-inflammatory, improves skin barrier",All skin types
Zinc PCA,Zinc Compound,"Controls oil production, anti-inflammatory, regulates sebum","Oily, Acne-prone"
Carbamide (Urea),"Humectant, Exfoliant","Moisturizing, skin softening, exfoliation","Dry, Dehydrated"
Propylene Glycol,"Humectant, Solvent","Moisturizing, skin conditioning",All skin types
Glycerine,Humectant,"Moisturizing, emollient",All skin types
Sorbitol,Sugar Alcohol,"Moisturizing, skin conditioning",All skin types
Triethylamine,Amine,"pH adjuster, emulsifier",All skin types
Butylene Glycol,"Humectant, Solvent","Moisturizing, skin conditioning",All skin types
Green Tea Extract (Camellia Sinensis),Plant Extract,"Antioxidant, anti-inflammatory, soothing",All skin types
Phenoxyethanol,Preservative,"Preservative, antimicrobial",All skin types
Fragrance,Fragrance,"Scenting, adds pleasant fragrance",All skin types
Coenzyme Q10 (Ubiquinone),Antioxidant,"Anti-aging, free radical scavenger",All skin types
Demineral Water,Water,"Solvent, base for formulations",All skin types
Acetyl Glucosamine,Amino Sugar,"Moisturizing, brightening, anti-aging","Dry, sensitive"
Potassium Hydrolyzed Polygamma-Glutamate,Amino Acid Derivative,"Skin conditioning, moisturizing","Dry, sensitive"
Sodium Polyglutamate,"Polypeptide, Humectant","Moisturizing, skin barrier strengthening","Dry, sensitive"
Centella Asiatica (Hydrocotyl) Leaf Extract,Plant Extract,"Soothing, healing, anti-inflammatory","Sensitive, aging"
Glycyrrhiza Glabra (Liquorice) Root Extract,Plant Extract,"Skin brightening, anti-inflammatory","Sensitive, uneven skin tone"
Glutamic Acid,Amino Acid,"Moisturizing, skin barrier function",All skin types
Lysine HCl,Amino Acid,"Skin conditioning, promotes collagen synthesis",All skin types
Lecithin,Lipid,"Emollient, skin conditioning","Dry, sensitive"
Threonine,Amino Acid,"Moisturizing, skin conditioning",All skin types
Silica,Mineral,"Mattifying, smoothing, absorbent","Oily, combination"
Arginine,Amino Acid,"Skin conditioning, moisturizing",All skin types
Alanine,Amino Acid,"Skin conditioning, moisturizing",All skin types
Proline,Amino Acid,"Skin conditioning, collagen production",All skin types
Serine,Amino Acid,"Moisturizing, skin conditioning",All skin types
Betaine,Amino Acid,"Hydrating, soothing","Dry, sensitive"
Sclerotium Gum,Polysaccharide,"Skin conditioning, film-forming agent","Dry, sensitive"
Sodium Lactate,"Humectant, Exfoliant","Moisturizing, pH balancing","Dry, sensitive"
Pullulan,Polysaccharide,"Moisturizing, film-forming agent",All skin types
Pca (Pyrrolidone Carboxylic Acid),Humectant,"Moisturizing, skin conditioning",All skin types
Glycine,Amino Acid,"Skin conditioning, moisture retention",All skin types
Zinc Gluconate,"Mineral, Salt","Anti-inflammatory, acne treatment","Oily, acne-prone"
Ethylhexylglycerin,Synthetic Humectant,"Preservative, moisturizing",All skin types
PEG-40 Hydrogenated Castor Oil,Synthetic Surfactant,"Solubilizer, emulsifier",All skin types
Ammonium Acryloyldimethyltaurate/?VP Copolymer,Synthetic Polymer,"Film-forming agent, texture enhancer",All skin types
Ethoxydiglycol,Solvent,"Solvent, enhances ingredient penetration",All skin types
Potassium Azeloyl Diglycinate,Active Ingredient,"Brightening, anti-inflammatory",All skin types
Azelaic Acid,Active Ingredient,"Anti-acne, brightening, anti-inflammatory","Sensitive, acne-prone"
Acetyl Tetrapeptide-40,Peptide,"Anti-aging, skin conditioning",All skin types
Hydroxyacetophenone,Antioxidant,"Antioxidant, skin conditioning",All skin types
Chondrus Crispus Extract (Carrageenan),Plant Extract,"Moisturizing, soothing","Dry, sensitive"
Pantolactone,Humectant,"Hydration, soothing",All skin types
amarindus Indica Seed Gum (Tamarind),Plant Extract,"Moisturizing, soothing","Dry, sensitive"
THIAMIDOL,Active Ingredient,"Skin brightening, anti-aging",All skin types
Tamarindus Indica Seed Gum (Tamarind),Plant Extract,"Moisturizing, soothing","Dry, sensitive"
Niacinamide,Active Ingredient,"Skin brightening, anti-aging",All skin types
Zinc Pca,Active Ingredient,"Sebum control, acne treatment","Oily, acne-prone"
Vitamin E,Antioxidant,"Skin protection, anti-aging",All skin types
Ascorbyl Tetraisopalmitate,Vitamin C Derivative,"Antioxidant, brightening",All skin types
C15-19 Alkane,Emollient,"Skin conditioning, smoothing",All skin types
Jojoba Oil Esters,Plant Extract,"Moisturizing, soothing","Dry, sensitive"
Saffron Extract,Plant Extract,"Skin brightening, anti-aging",All skin types
Ammonium Polyacryloyldimethyl Taurate,Surfactant,"Skin conditioning, cleansing",All skin types
Daisy Flower Extract,Plant Extract,"Skin brightening, anti-inflammatory",All skin types
Allanto?n,Humectant,"Soothing, moisturizing","Sensitive, dry"
Rosewood Oil,Essential Oil,"Aromatherapy, soothing",All skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Stabilizer,"Skin conditioning, texture enhancement",All skin types
Methyl Gluceth-20,Humectant,"Skin conditioning, moisturizing",All skin types
Acacia Senegal Gum,Plant Extract,"Moisturizing, soothing","Dry, sensitive"
Hyaluronic Acid,Humectant,"Hydration, plumping",All skin types
Xanthan Gum,Stabilizer,"Thickening agent, skin conditioning",All skin types
Ethylhexyl Glycerine,Emollient,"Moisturizing, skin conditioning",All skin types
"1,2-Hexanediol",Humectant,"Moisturizing, skin conditioning",All skin types
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightening, stable Vitamin C",All skin types
Propanediol,Humectant,"Skin conditioning, moisturizing",All skin types
Ferulic Acid,Antioxidant,"Skin protection, anti-aging",All skin types
Centella Asiatica Extract,Plant Extract,"Soothing, healing","Sensitive, dry"
Tetrahydrodiferuloylmethane (Curcumin),Active Ingredient,"Anti-inflammatory, skin healing",All skin types
Panthenol,Humectant,"Hydration, soothing",All skin types
PEG-40 Hydrogenated Castor Oil,Emollient,"Skin conditioning, cleansing",All skin types
Polysorbate 20,Emulsifier,"Stabilizing agent, helps blend ingredients",All skin types
Disodium EDTA,Chelating Agent,"Preservative, improves product stability",All skin types
Lactic Acid (pH Adjuster),Exfoliant,"pH balancing, exfoliation",All skin types
Citric Acid,pH Adjuster,pH balancing,All skin types
Sodium Metabisulphite,Antioxidant,"Preservative, prevents oxidation",All skin types
Aloe Barbadensis Leaf Extract (Organic Aloe),Plant Extract,"Moisturizing, soothing","Sensitive, dry"
Dipotassium Glycyrrhizate,Active Ingredient,"Anti-inflammatory, soothing","Sensitive, dry"
Hamamelis Virginiana (Witch Hazel) Leaf Extract (Organic),Plant Extract,"Soothing, anti-inflammatory","Sensitive, oily"
Rosmarinus Officinalis (Rosemary) Extract (Organic),Plant Extract,"Antioxidant, soothing",All skin types
Eucalyptus Globulus (Eucalyptus) Leaf Extract (Organic),Plant Extract,"Soothing, anti-inflammatory","Sensitive, dry"
Thymus Vulgaris (Thyme) Extract (Organic),Plant Extract,"Antimicrobial, soothing",All skin types
Aspalathus Linearis (Rooibos) Extract (Organic),Plant Extract,"Antioxidant, soothing","Sensitive, dry"
Dipropylene Glycol,Solvent,"Solubilizing, skin conditioning",All skin types
Chlorphenesin,Preservative,"Antimicrobial, preservative",All skin types
Sorbitan Isostearate,Emulsifier,"Stabilizing, helps blend ingredients",All skin types
Polysorbate 60,Emulsifier,"Stabilizing, helps blend ingredients",All skin types
Diphenyl Dimethicone,Silicone,"Skin conditioning, smoothing",All skin types
Triethylhexanoin,Emollient,"Skin conditioning, softening",All skin types
Polyglyceryl-10 Oleate,Emulsifier,"Stabilizing, moisturizing",All skin types
Hydrogenated Lecithin,Emollient,"Skin conditioning, moisturizing",All skin types
Pyrus Malus (Apple) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning",All skin types
Ethoxydiglycol,Solvent,"Solubilizing agent, improves product stability",All skin types
PEG-12 Dimethicone,Silicone,"Skin conditioning, texture enhancer",All skin types
Punica Granatum (Pomegranate) Extract,Plant Extract,"Antioxidant, skin brightening",All skin types
Vaccinium Angustifolium (Blueberry) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning",All skin types
Caprylyl Glycol,Humectant,"Moisturizing, skin conditioning",All skin types
Hexylene Glycol,Solvent,"Solubilizing agent, improves product stability",All skin types
Panthenol (Vitamin B5),Vitamin,"Moisturizing, healing, anti-inflammatory",All skin types
Centella Asiatica Extract,Plant Extract,"Healing, anti-inflammatory, soothing","Sensitive, Dry"
Sodium Hyaluronate Crosspolymer,"Humectant, Polymer","Moisturizing, skin conditioning",All skin types
Acetyl Hexapeptide-8,Peptide,"Anti-aging, wrinkle-reducing",All skin types
Isopentyldiol,Humectant,"Skin conditioning, moisturizing",All skin types
Citronellol,Plant Extract,"Fragrance, soothing, anti-inflammatory","Sensitive, Dry"
Geraniol,Plant Extract,"Fragrance, anti-inflammatory","Sensitive, Dry"
Cinnamaldehyde,Plant Extract,"Fragrance, anti-inflammatory","Sensitive, Dry"
Citronellyl Acetate,Plant Extract,"Fragrance, soothing","Sensitive, Dry"
Citrus Sinensis Oil,Essential Oil,"Fragrance, antioxidant, brightening","Oily, Acne-prone"
D-Limonene,Essential Oil,"Fragrance, antioxidant, antimicrobial","Oily, Acne-prone"
Alpha-Arbutin,Active Ingredient,"Skin brightening, hyperpigmentation treatment",All skin types
Bambusa Vulgaris Leaf/Stem Extract,Plant Extract,"Antioxidant, soothing, anti-inflammatory","Sensitive, Dry"
Sodium Gluconate,Chelating Agent,"Stabilizing agent, preservative",All skin types
Malpighia Punicifolia Fruit Extract,Plant Extract,"Antioxidant, anti-aging, brightening",All skin types
Resveratrol,Active Ingredient,"Antioxidant, anti-aging, skin protection",All skin types
Rubus Chamaemorus Seed Oil,Plant Oil,"Moisturizing, anti-inflammatory","Dry, Sensitive"
Hydroxydimethoxy Benzylmalonate,Active Ingredient,"Skin brightening, antioxidant",All skin types
Decylene Glycol,Humectant,"Moisturizing, preservative",All skin types
Coco-Caprylate/Caprate,Emollient,"Skin conditioning, moisturizing",All skin types
Undecane,Solvent,"Solvent, skin conditioning",All skin types
Tridecane,Solvent,"Solvent, skin conditioning",All skin types
Fomes Officinalis Extract,Plant Extract,"Moisturizing, soothing","Dry, Sensitive"
Avena Sativa Kernel Extract,Plant Extract,"Soothing, anti-inflammatory","Sensitive, Dry"
Sclerotium Gum,Natural Gum,"Skin conditioning, thickener",All skin types
Bisabolol,Plant Extract,"Anti-inflammatory, soothing","Sensitive, Dry"
Camellia Sinensis Seed Oil,Plant Oil,"Antioxidant, moisturizing",All skin types
Hibiscus Syriacus Flower Extract,Plant Extract,"Moisturizing, soothing","Sensitive, Dry"
Coptis Japonica Extract,Plant Extract,"Anti-inflammatory, soothing","Sensitive, Acne-prone"
Caprylic/Capric Triglyceride,Emollient,"Moisturizing, skin conditioning",All skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Polymer,"Thickening agent, stabilizer",All skin types
Tromethamine,pH Adjuster,pH balancing,All skin types
Sodium Gluconate,Chelating Agent,"Improves product stability, prevents metal ion contamination",All skin types
Tetrasodium Ethylenediaminetetraacetic Acid Tetrasodium Salt,Chelating Agent,"Stabilizer, improves formulation stability",All skin types
Santalum Austrocaledonicum Wood Water (Sandalwood),Plant Extract,"Soothing, anti-inflammatory","Dry, sensitive"
Maize Carbohydrate (Organic Sunflower),Plant Extract,"Moisturizing, conditioning",All skin types
Ethylhexyl Palmitate,Emollient,"Emollient, skin softening","Dry, sensitive"
Glyceryl Stearate,Emulsifier,"Stabilizes emulsions, skin conditioning",All skin types
Undaria Pinnatifida Cell Culture Extract (Wakame Bioferment),Plant Extract,"Antioxidant, soothing",All skin types
Cocos Nucifera Oil (Organic Coconut),Oil,"Moisturizing, nourishing","Dry, sensitive"
Astaxanthin (Haematococcus Pluvialis Extract),Antioxidant,"Protects against free radicals, skin rejuvenating",All skin types
Theobroma Cacao Seed Butter (Organic Cocoa),Butter,"Nourishing, moisturizing","Dry, sensitive"
Beeswax,Wax,"Moisturizing, protective barrier","Dry, sensitive"
Cetyl Alcohol,Fatty Alcohol,"Emulsifier, thickener",All skin types
Potassium Stearate,Emulsifier,Stabilizes emulsions,All skin types
Simmondsia Chinensis Seed Oil (Organic Jojoba),Oil,"Moisturizing, balancing oil production","Oily, sensitive"
Ubiquinone (CoQ10),"Active Ingredient, Antioxidant","Protects against aging, skin rejuvenating",All skin types
Sodium Carbomer,Thickener,"Thickening agent, stabilizer",All skin types
"Caesalpinia Spinosa Gum (Tara, Botanical Hyaluronic Acid)","Plant Extract, Humectant","Hydrating, moisture-retaining",All skin types
